Day,Time
28.02.20,20.48
28.02.20,16.47
28.02.20,16.06
28.02.20,15.57
28.02.20,15.52
28.02.20,00.30
28.02.20,00.21
28.02.20,00.19
28.02.20,00.16
28.02.20,00.13
27.02.20,22.01
27.02.20,20.16
27.02.20,20.07
27.02.20,19.20
27.02.20,19.13
27.02.20,19.05
27.02.20,18.28
27.02.20,17.03
27.02.20,16.14
27.02.20,16.11
27.02.20,13.59
27.02.20,13.57
27.02.20,12.19
27.02.20,11.58
27.02.20,01.55
27.02.20,01.40
26.02.20,20.42
26.02.20,20.31
26.02.20,20.28
26.02.20,20.25
26.02.20,19.58
26.02.20,19.56
26.02.20,19.50
26.02.20,19.31
26.02.20,19.27
26.02.20,19.00
26.02.20,18.56
26.02.20,18.54
26.02.20,18.13
26.02.20,02.41
26.02.20,02.37
26.02.20,02.18
26.02.20,02.10
26.02.20,02.01
26.02.20,01.53
26.02.20,01.50
26.02.20,01.39
26.02.20,01.30
26.02.20,01.27
26.02.20,00.56
26.02.20,00.19
26.02.20,00.17
25.02.20,22.35
25.02.20,21.45
24.02.20,01.43
23.02.20,12.52
23.02.20,12.45
22.02.20,16.12
22.02.20,15.50
22.02.20,13.36
20.02.20,00.38
20.02.20,00.35
20.02.20,00.20
19.02.20,23.43
19.02.20,15.54
19.02.20,15.50
19.02.20,15.44
19.02.20,14.08
19.02.20,13.57
19.02.20,13.48
19.02.20,13.38
19.02.20,13.20
19.02.20,09.23
18.02.20,22.49
18.02.20,22.34
17.02.20,23.55
17.02.20,01.31
17.02.20,01.28
17.02.20,01.24
16.02.20,14.50
14.02.20,20.43
14.02.20,12.13
14.02.20,11.57
13.02.20,23.33
13.02.20,22.29
13.02.20,20.07
13.02.20,19.44
13.02.20,18.44
13.02.20,18.17
13.02.20,16.35
13.02.20,00.09
12.02.20,20.22
12.02.20,20.07
12.02.20,19.48
12.02.20,19.20
12.02.20,19.18
12.02.20,19.03
12.02.20,19.00
12.02.20,01.49
11.02.20,23.32
11.02.20,15.17
11.02.20,14.53
11.02.20,14.43
11.02.20,12.06
10.02.20,21.41
10.02.20,20.40
10.02.20,19.54
10.02.20,19.41
10.02.20,19.31
10.02.20,18.28
10.02.20,01.55
10.02.20,00.52
10.02.20,00.37
10.02.20,00.26
08.02.20,13.46
08.02.20,12.33
08.02.20,11.28
07.02.20,16.24
05.02.20,21.22
05.02.20,19.36
04.02.20,18.57
04.02.20,18.17
03.02.20,23.48
03.02.20,23.46
03.02.20,23.42
03.02.20,23.37
01.02.20,11.14
01.02.20,02.27
01.02.20,01.58
31.01.20,01.34
30.01.20,19.05
30.01.20,18.55
30.01.20,15.38
30.01.20,03.24
